494,fortnite battle royale,PC,Other,Action,8,0,2,0,0,0,1,0,0,0,0,0
502,etrian odyssey v,PC,Other,Action,8,1,1,0,0,0,0,0,0,1,0,0
8,animal crossing pocket camp,ios and,nintendo,simulation,7,0,0,0,1,1,0,0,1,0,2,0
171,last day of june,pc ps4,505 games,adventure,7,0,1,0,0,0,1,0,1,0,1,0
177,little nightmares,pc. ps4 xbo,bandai namco,action adventure,7,0,0,0,0,0,3,0,0,1,0,1
261,rime,pc ps4 xbo nsw,tequilla works,action adventure,7,0,1,0,0,1,0,0,0,0,2,0
265,rocket league,nsw,psyonix,sports remake,7,0,0,0,2,0,1,0,0,0,1,3
340,the end is nigh,pc,edmund mcmillen and tyler glaiel,action,7,0,0,0,1,2,0,0,0,1,0,2
359,tokyo xanadu ex+,vita,nihon falcom,rpg remake,7,0,1,0,0,0,1,0,1,0,1,0
492,xcom2 war of the chosen,PC,Other,Action,7,0,0,1,1,1,0,0,0,0,0,0
507,marvel vs capcom infinite,PC,Other,Action,7,0,0,0,1,0,2,0,1,0,0,0
521,dark souls iii the ringed city,PC,Other,Action,7,0,0,0,1,1,1,0,0,1,0,0
531,kingdom hearts 1.5 + 2.5 remix,PC,Other,Action,7,1,1,0,0,0,0,0,0,0,0,0
539,pubg,PC,Other,Action,7,0,0,1,1,1,0,0,0,0,0,0
592,the legend of zelda the breath of the wild,PC,Other,Action,7,1,0,0,0,0,1,0,0,0,1,0
29,blaster master zero,nsw 3ds,inti creates,action,6,0,0,0,0,0,0,1,0,2,3,0
35,butterfly soup,pc,brianna lei,adventure,6,0,1,1,0,0,0,0,0,0,0,0
37,call of duty wwii,pc ps4 xbo,activision blizzard,shooter,6,0,0,0,1,0,1,0,0,0,2,0
57,darkwood,pc,acid wizard studio,horror,6,0,0,0,0,1,1,0,2,0,0,0
69,djmax respect,ps4,neowiz games,rhythm,6,0,1,0,1,0,0,0,1,0,0,0
