Game Number,Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
76,RIME,PC PS4 XBO NSW,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
77,Tekken 7,PC PS4 XBO,Bandai Namco,Fighting,0,0,0,0,0,0,0,0,0,0,0,0
78,Darkest Dungeon: The Crimson Court,PC PS4 VITA,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
79,Middle-Earth: Shadow of War,PC PS4 XBO,WB,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
80,She Remembered Caterpillars,PC,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
81,Danganronpa V3: Killing Harmony,PC PS4 VITA,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
82,Etrian Odyssey V: Beyond the Myth,3DS,Atlus,RPG,0,0,0,0,0,0,0,0,0,0,0,0
83,Torment: Tides of Numenera,PC PS4 XBO,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
84,The Evil Within 2,PC PS4 XBO,Bethesda,Horror,0,0,0,0,0,0,0,0,0,0,0,0
85,Echo,PS4 PC,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
86,Rising Storm 2: Vietnam,PC,Other,Shooter,0,0,0,0,0,0,0,0,0,0,0,0
87,Fire Emblem Echoes: Shadows of Valentia,3DS,Nintendo,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
88,Children of Zodiarcs,PC PS4,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
89,Stories Untold,PC,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
90,Sniper Elite 4,PC PS4 XBO,Other,Shooter,0,0,0,0,0,0,0,0,0,0,0,0
91,Antihero,PC,Other,Board+Card,0,0,0,0,0,0,0,0,0,0,0,0
92,Yakuza Kiwami,PS4,SEGA,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
93,The Elder Scrolls Legends,PC iOS,Bethesda,Board+Card,0,0,0,0,0,0,0,0,0,0,0,0
94,Endless Space 2,PC,Other,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
95,Snipperclips - Cut it out together!,NSW,Nintendo,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
96,Flinthook,PC PS4 XBO,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
97,Battle Brothers,PC,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
98,Faeria,PC,Other,Board+Card,0,0,0,0,0,0,0,0,0,0,0,0
99,Life is Strange: Before The Storm,PC PS4 XBO,Square-Enix,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
100,Darkwood,PC,Other,Horror,0,0,0,0,0,0,0,0,0,0,0,0
101,Wonder Boy: The Dragon's Trap,PC PS4 XBO NSW,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
102,Gravity Rush 2,PS4,Sony,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
103,Golf Story,NSW,Other,RPG Simulation,0,0,0,0,0,0,0,0,0,0,0,0
104,Aaero,PC PS4 XBO,Other,Rhythm,0,0,0,0,0,0,0,0,0,0,0,0
105,Nidhogg 2,PC PS4,Other,Fighting,0,0,0,0,0,0,0,0,0,0,0,0
106,Ys Seven,PC,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
107,EVERYTHING,PC PS4,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
108,Tales of Berseria,PC PS4,Bandai Namco,RPG,0,0,0,0,0,0,0,0,0,0,0,0
109,Monster Hunter Stories,3DS,Capcom,RPG,0,0,0,0,0,0,0,0,0,0,0,0
110,Hob,PC PS4,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
111,Splasher,PC PS4 XBO NSW,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
112,Wilson's Heart,PC,Other,Horror,0,0,0,0,0,0,0,0,0,0,0,0
113,For Honor,PC PS4 XBO,Ubisoft,Fighting,0,0,0,0,0,0,0,0,0,0,0,0
114,Rock of Ages 2: Bigger and Boulder,PS4,Atlus,Action,0,0,0,0,0,0,0,0,0,0,0,0
115,Battle Chasers: Nightwar,PC PS4 XBO,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
116,Tacoma,PC XBO,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
117,Halo Wars 2,PC XBO,Microsoft,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
118,Yomawari: Midnight Shadows,PC PS4 VITA,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
119,Wulverblade,NSW,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
120,Heat Signature,PC,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
121,Hearthstone: Journey to Un'Goro,PC iOS AND,Activision Blizzard,Board+Card,0,0,0,0,0,0,0,0,0,0,0,0
122,Candleman,XONE,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
123,World to the West,PC PS4 XBO WIIU,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
124,Super Rude Bear Resurrection,PC PS4,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
125,TumbleSeed,PC PS4 NSW,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
126,Shadow Warrior 2,PC PS4 XBO,Other,Shooter,0,0,0,0,0,0,0,0,0,0,0,0
127,Blaster Master Zero,NSW 3DS,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
128,Blackwood Crossing,PC PS4 XBO,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
129,Ken Follett's The Pillars of the Earth,PC PS4 XBO,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
130,Super CloudBuilt,PC PS4 XBO,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
131,Death Squared,PC PS4 XBO NSW,Other,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
132,Cat Quest,PC PS4 iOS NSW,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
133,Star Trek: Bridge Crew,PC PS4,Ubisoft,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
134,A Hat In Time,PC,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
135,Shadows of Adam,PC,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
136,Graceful Explosion Machine,PC PS4 NSW,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
137,Everybody's Golf,PS4,Sony,Sports,0,0,0,0,0,0,0,0,0,0,0,0
138,Embers of Mirrim,PC PS4 XBO,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
139,Linelight,PC PS4 iOS,Other,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
140,Aven Colony,PC PS4 XBO,Other,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
141,The Elder Scrolls Online: Morrowind,PC PS4 XBO,Bethesda,RPG,0,0,0,0,0,0,0,0,0,0,0,0
142,Figment,PC,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
143,The Escapists 2,PC PS4 XBO,Other,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
