Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
dissembler,pc mob,ian maclarty,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
dissidia final fantasy nt,ps4,square enix,fighting,0,0,0,0,0,0,0,0,0,0,0,0
distance,pc ps4,refract,vr racing,0,0,0,0,0,0,0,0,0,0,0,0
divinity original sin ii definitive edition,ps4 xbo,larian studios,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
djmax respect,ps4,neowitz entertainment,prcb,0,0,0,0,0,0,0,0,0,0,0,0
donkey kong country tropical freeze,nsw,nintendo,action remake,0,0,0,0,0,0,0,0,0,0,0,0
donut county,pc ps4 xbo nsw mob,annapurna,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
dragalia lost,mob,nintendo,rpg,0,0,0,0,0,0,0,0,0,0,0,0
dragon quest builders,nsw,square enix,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
dragon quest xi echoes of an elusive age,pc ps4,square enix,rpg,0,0,0,0,0,0,0,0,0,0,0,0
dragonball fighterz,pc ps4 xbo nsw,bandai namco,fighting,0,0,0,0,0,0,0,0,0,0,0,0
dragons crown pro,ps4,atlus,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
dusk,pc,new blood interactive,shooter,0,0,0,0,0,0,0,0,0,0,0,0
dynasty warriors 7 xtreme legends definitive edition,pc,koei tecmo,action remake,0,0,0,0,0,0,0,0,0,0,0,0
dynasty warriors 8 xtreme legends definitive edition,nsw,koei tecmo,action remake,0,0,0,0,0,0,0,0,0,0,0,0
dynasty warriors 9,pc ps4 xbo,koei tecmo,action,0,0,0,0,0,0,0,0,0,0,0,0
ea sports ufc 3,pc ps4 xbo,ea,fighting,0,0,0,0,0,0,0,0,0,0,0,0
earth defense force 5,ps4,d3 publisher,shooter,0,0,0,0,0,0,0,0,0,0,0,0
echoes iii,pc,thegamecreators,action,0,0,0,0,0,0,0,0,0,0,0,0
eloh,mob,broken rules,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
epic seven,mob,smilegate megaport,rpg,0,0,0,0,0,0,0,0,0,0,0,0
eternal,pc xbo mob,dire wolf digital,prcb,0,0,0,0,0,0,0,0,0,0,0,0
evergarden,mob,flippfly llc,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
everspace stellar edition,nsw,rockfish games,action,0,0,0,0,0,0,0,0,0,0,0,0
evoland 2,mob,playdigious,rpg,0,0,0,0,0,0,0,0,0,0,0,0
exapunks,pc,zachtronics,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
f1 2018,pc ps4 xbo,codemasters,racing,0,0,0,0,0,0,0,0,0,0,0,0
fallout 76,pc ps4 xbo,bethesda,rpg,0,0,0,0,0,0,0,0,0,0,0,0
far cry 5,pc ps4 xbo,ubisoft,shooter,0,0,0,0,0,0,0,0,0,0,0,0
far lone sails,pc,mixtvision,action,0,0,0,0,0,0,0,0,0,0,0,0
fast striker,ps4 vita,ngdevteam,action remake,0,0,0,0,0,0,0,0,0,0,0,0
fe,pc ps4 xbo nsw,ea,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
fifa 19,pc ps4 ps3 xbo 360 nsw,ea,sports,0,0,0,0,0,0,0,0,0,0,0,0
fighting ex layer,pc ps4,arika,fighting,0,0,0,0,0,0,0,0,0,0,0,0
final fantasy xii the zodiac age,pc,square enix,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
final fantasy xv pocket edition,pc ps4 xbo nsw mob,square enix,rpg,0,0,0,0,0,0,0,0,0,0,0,0
final fantasy xv windows edition,pc,square enix,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
firewall zero hour,ps4,sony,vr shooter,0,0,0,0,0,0,0,0,0,0,0,0
fist of the north star lost paradise,ps4,sega,action,0,0,0,0,0,0,0,0,0,0,0,0
flat heroes,pc nsw,parallel circles,action,0,0,0,0,0,0,0,0,0,0,0,0
flipping death,pc ps4 xbo nsw,rising star games,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
floor kids,pc ps4 xbo nsw,merj media,prcb,0,0,0,0,0,0,0,0,0,0,0,0
florence,mob,annapurna,action,0,0,0,0,0,0,0,0,0,0,0,0
football manager 2019,pc,sega,simulation,0,0,0,0,0,0,0,0,0,0,0,0
forgotton anne,pc ps4 xbo,square enix,adventure,0,0,0,0,0,0,0,0,0,0,0,0
fortnite battle royale,pc ps4 xbo nsw mob,epic,shooter,0,0,0,0,0,0,0,0,0,0,0,0
forza horizon 4,pc xbo,microsoft,racing,0,0,0,0,0,0,0,0,0,0,0,0
fox n forests,pc ps4 xbo nsw,eurovideo,action,0,0,0,0,0,0,0,0,0,0,0,0
frostpunk,pc,11 bit studios,simulation,0,0,0,0,0,0,0,0,0,0,0,0
frozen synapse 2,pc,matrix games,strategy,0,0,0,0,0,0,0,0,0,0,0,0
full metal furies,pc xbo,cellar door games,rpg,0,0,0,0,0,0,0,0,0,0,0,0
ghost 10,xbo nsw,unepic_fran,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
girls und panzer dream tank match,ps4,bandai namco,action,0,0,0,0,0,0,0,0,0,0,0,0
go vacation,nsw,bandai namco,prcb remake,0,0,0,0,0,0,0,0,0,0,0,0
god of war,ps4,sony,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
