Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
opus magnum,pc,zachtronics,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
opus the day we found earth,ios and,sigono inc,adventure,0,0,0,0,0,0,0,0,0,0,0,0
out of the park baseball 18,pc,out of the park developments,sports simulation,0,0,0,0,0,0,0,0,0,0,0,0
outlast 2,pc ps4 xbo,red barrels,horror,0,0,0,0,0,0,0,0,0,0,0,0
overcooked,nsw,team 17,action,0,0,0,0,0,0,0,0,0,0,0,0
pan pan a tiny big adventure,nsw,circle entertainment,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
paradigm,pc,jacob janerka,adventure,0,0,0,0,0,0,0,0,0,0,0,0
parappa the rapper remastered,ps4,sony,rhythm remake,0,0,0,0,0,0,0,0,0,0,0,0
patapon remastered,ps4,sony,rhythm remake,0,0,0,0,0,0,0,0,0,0,0,0
path of exile the fall of oriath,pc xbo,grinding gear games,rpg,0,0,0,0,0,0,0,0,0,0,0,0
perception,pc ps4 xbo nsw and,the deep end games,horror,0,0,0,0,0,0,0,0,0,0,0,0
persona 5,ps4 ps3,atlus,rpg,0,0,0,0,0,0,0,0,0,0,0,0
phantom dust,pc xbo,microsoft,action remake,0,0,0,0,0,0,0,0,0,0,0,0
picross s,nsw,jupiter,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
pictopix,pc,tomlab games,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
pinball fx 3,pc ps4 xbo nsw,zen studios,action,0,0,0,0,0,0,0,0,0,0,0,0
playerunknowns battlegrounds,pc,bluehole,shooter,0,0,0,0,0,0,0,0,0,0,0,0
pokemon magikarp jump,ios and,the pokemon company,simulation,0,0,0,0,0,0,0,0,0,0,0,0
pokemon ultra sun ultra moon,3ds,nintendo,rpg,0,0,0,0,0,0,0,0,0,0,0,0
pokken tournament dx,nsw,bandai namco,fighting,0,0,0,0,0,0,0,0,0,0,0,0
polybius,ps4,llamasoft,vr action,0,0,0,0,0,0,0,0,0,0,0,0
poochy and yoshis woolly world,3ds,nintendo,action remake,0,0,0,0,0,0,0,0,0,0,0,0
portal knights,pc ps4 xbo,505 games,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
prey,pc ps4 xbo,bethesda,shooter,0,0,0,0,0,0,0,0,0,0,0,0
pro evolution soccer 2018,pc ps4 ps3 xbo 360,konami,sports,0,0,0,0,0,0,0,0,0,0,0,0
project cars 2,pc ps4 xbo,bandai namco,vr racing,0,0,0,0,0,0,0,0,0,0,0,0
puyo puyo tetris,ps4 nsw,sega,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
pyre,pc ps4,supergiant games,rpg,0,0,0,0,0,0,0,0,0,0,0,0
rabi ribi,ps4 vita,pqube,action,0,0,0,0,0,0,0,0,0,0,0,0
raiden v directors cut,pc ps4,ufo interactive games,shooter,0,0,0,0,0,0,0,0,0,0,0,0
rain world,pc ps4,videocraft,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
rakuen,pc,laura shigihara,rpg,0,0,0,0,0,0,0,0,0,0,0,0
raw data,pc ps4,survivos,vr shooter,0,0,0,0,0,0,0,0,0,0,0,0
recore definitive edition,pc xbo,microsoft,action remake,0,0,0,0,0,0,0,0,0,0,0,0
reds kingdom,ios pc,cobra mobile,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
reigns her majesty,pc ios and,devolver digital,board+card,0,0,0,0,0,0,0,0,0,0,0,0
rekt,ios and,little chicken game company bv,action,0,0,0,0,0,0,0,0,0,0,0,0
resident evil vii biohazard,pc ps4 xbo,capcom,vr horror,0,0,0,0,0,0,0,0,0,0,0,0
resynth,ios,polyphonic lp,rhythm,0,0,0,0,0,0,0,0,0,0,0,0
rez infinite,pc,enhance games,vr rhythm remake,0,0,0,0,0,0,0,0,0,0,0,0
rick and morty virtual rick ality,pc,adult swim games,vr simulation,0,0,0,0,0,0,0,0,0,0,0,0
rime,pc ps4 xbo nsw,tequilla works,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
rising storm 2 vietnam,pc,tripwire interactive,shooter,0,0,0,0,0,0,0,0,0,0,0,0
robo recall,pc,epic games,vr shooter,0,0,0,0,0,0,0,0,0,0,0,0
rock of ages 2 bigger and boulder,ps4,atlus,action,0,0,0,0,0,0,0,0,0,0,0,0
rocket league,nsw,psyonix,sports remake,0,0,0,0,0,0,0,0,0,0,0,0
romancing saga 2,pc,square enix,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
ruiner,pc ps4 xbo,devolver digital,action,0,0,0,0,0,0,0,0,0,0,0,0
secret world legends,pc,funcom,rpg,0,0,0,0,0,0,0,0,0,0,0,0
senran kagura peach beach splash,ps4,marvelous,shooter,0,0,0,0,0,0,0,0,0,0,0,0
