Title,Platforms,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner-up
life is strange before the storm bonus episode,pc,other,action,2,0,0,0,1,0,0,0,0,0,0,0
shining resonance refrain,pc,other,action,2,0,0,0,1,0,0,0,0,0,0,0
atelier lydie & suelle the alchemists and the mysterious paintings,ps4 nsw,koei tecmo,rpg,2,0,0,0,0,1,0,0,0,0,0,1
ashen,pc xbo,annapurna,rpg,2,0,0,0,0,1,0,0,0,0,0,0
fallout 76,pc ps4 xbo,bethesda,rpg,2,0,0,0,0,1,0,0,0,0,0,0
moss,pc ps4,sony,vr action,2,0,0,0,0,1,0,0,0,0,0,0
onrush,pc ps4 xbo,codemasters,racing,2,0,0,0,0,1,0,0,0,0,0,0
shin megami tensei strange journey redux,3ds,atlus,rpg remake,2,0,0,0,0,1,0,0,0,0,0,0
pokemon lets go pikachu,pc,other,action,2,0,0,0,0,1,0,0,0,0,0,0
final fantasy dissidia nt,pc,other,action,2,0,0,0,0,1,0,0,0,0,0,0
pinball fx3williams table pack 1,pc,other,action,2,0,0,0,0,1,0,0,0,0,0,0
detroit  become human,pc,other,action,2,0,0,0,0,1,0,0,0,0,0,0
pixeljunk monsters 2,pc,other,action,2,0,0,0,0,1,0,0,0,0,0,0
below,pc,other,action,2,0,0,0,0,0,1,0,0,0,0,0
diablo iii eternal collection,pc,other,action,2,0,0,0,0,0,1,0,0,0,0,0
into the breach –,pc,other,action,2,0,0,0,0,0,1,0,0,0,0,0
state of mind,pc,other,action,2,0,0,0,0,0,1,0,0,0,0,0
pillars of eternity ii deadfire,pc,obsidian,rpg,2,0,0,0,0,0,0,0,2,0,0,0
far cry 5,pc ps4 xbo,ubisoft,shooter,2,0,0,0,0,0,0,0,1,0,1,0
super mario party,nsw,nintendo,prcb,2,0,0,0,0,0,0,0,1,0,1,0
pathfinder kingmaker,pc,other,action,2,0,0,0,0,0,0,0,0,1,1,0
warhammer vermintide 2,pc,fatshark ab,action,1,0,0,0,0,0,0,1,0,0,0,1
